Date of Sale (dd/mm/yyyy),Address,Street Name,Price
29/10/2020,"1 PARK DRIVE, THE PARK, CABINTEELY",the park,"€645,000.00"
29/10/2020,"16 THOMAS MOORE RD, WALKINSTOWN, DUBLIN",thomas moore road,"€345,000.00"
29/10/2020,"384 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€552,000.00"
29/10/2020,"41 SEVEN OAKS, SWORDS ROAD, DRUMCONDRA",seven oaks,"€410,000.00"
30/10/2020,"1 meadowbank mews, Millers Glen, Swords",meadowbank,"€262,114.00"
30/10/2020,"13 Meadowbank Grove, Millers Glen, Swords",meadowbank,"€262,115.00"
30/10/2020,"199 & 207 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€765,000.00"
30/10/2020,"200 & 203 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€745,000.00"
30/10/2020,"202 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€270,000.00"
30/10/2020,"224 BURNELL SQ NORTHERN CROSS, MALAHIDE RD, DUBLIN",malahide road,"€200,000.00"
30/10/2020,"23 ASHFORD, GRIFFITH AVE, GLASNEVIN DUBLIN 11",griffith avenue,"€220,000.00"
30/10/2020,"3 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€365,000.00"
30/10/2020,"463 ORWELL PARK GREEN, TEMPLEOGUE, DUBLIN 6W",orwell park,"€100,000.00"
30/10/2020,"50 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€435,000.00"
30/10/2020,"52 Brookfield, Back Road, Malahide",brookfield,"€615,859.03"
30/10/2020,"60 HARCOURT GREEN, CHARLEMONT ST, DUBLIN 2",charlemont,"€470,000.00"
30/10/2020,"72 CLEARWATER COVE, OLD DUNLEARY RD, DUN LAOGHAIRE",clearwater,"€570,000.00"
30/10/2020,"74 CLEARWATER COVE, OLD DUNLEARY RD, DUN LAOGHAIRE",clearwater,"€570,000.00"
30/10/2020,"75 HARCOURT GREEN, CHARLEMONT ST, DUBLIN 2",charlemont,"€505,000.00"
30/10/2020,"76 CLEARWATER COVE, OLD DUNLEARY RD, DUN LAOGHAIRE",clearwater,"€570,000.00"
30/10/2020,"8 ARMAGH RD, CRUMLIN, DUBLIN 12",armagh road,"€305,000.00"
30/10/2020,"9 RIBH RD, ARTANE, DUBLIN 5",ribh road,"€340,000.00"
02/11/2020,"11 MARLBOROUGH RD, DUBLIN 7, DUBLIN",marlborough road,"€640,000.00"
02/11/2020,"11 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€339,207.00"
02/11/2020,"15 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€334,801.00"
03/11/2020,"13 MALAHIDE RD, DUBLIN 3, DUBLIN",malahide road,"€520,000.00"
03/11/2020,"145 OLD FINGLAS RD, GLASNEVIN, DUBLIN 11",finglas road,"€480,000.00"
03/11/2020,"149 MOURNE RD, DRIMNAGH, DUBLIN 12",mourne road,"€250,000.00"
03/11/2020,"22 THE SYCAMORES, GROVE RD, MALAHIDE",grove road,"€835,000.00"
04/11/2020,"3 MEADOWBANK ROAD, MILLERS GLEN, SWORDS",meadowbank,"€400,881.06"
04/11/2020,"33 Ely Square, Nutgrove Avenue, Rathfarnham",grove avenue,"€559,471.36"
04/11/2020,"33 VALE VIEW AVE, THE PARK, CABINTEELY DUBLIN 18",the park,"€550,000.00"
04/11/2020,"APT 33 AMIENS SQUARE, AMIENS STREET, DUBLIN 1",amiens street,"€236,000.00"
05/11/2020,"50 CEDARWOOD RD, BALLYMUN, DUBLIN 11",cedarwood road,"€400,000.00"
05/11/2020,"6 GLENARRIFF RD, KINVARA PARK, NAVAN RD DUBLIN 7",glenarriff road,"€420,000.00"
06/11/2020,"1 KIRWAN STREET, DUBLIN 7",kirwan street,"€380,000.00"
06/11/2020,"106 ROCKFORD MANOR, STRADBROOK RD, BLACKROCK",manor street,"€450,000.00"
06/11/2020,"19 DONORE RD, SOUTH CIRCULAR RD, DUBLIN 8",donore road,"€651,500.00"
06/11/2020,"20 PARK LANE, SANDYMOUNT, DUBLIN 4",park lane,"€275,000.00"
06/11/2020,"22 FERGUS RD, TERENURE, DUBLIN 6W",fergus road,"€535,000.00"
06/11/2020,"24 ST BRENDANS AVE, MALAHIDE RD, DUBLIN 5",malahide road,"€455,000.00"
06/11/2020,"38 COOLRUA DR, BEAUMONT, DUBLIN 9",coolrua drive,"€357,555.00"
06/11/2020,"53 CABRA RD, PHIBSBOROUGH, DUBLIN 7",cabra road,"€628,310.00"
06/11/2020,"78 WATERLOO RD, BALLSBRIDGE, DUBLIN 4",waterloo road,"€1,640,000.00"
06/11/2020,"8 PARKSIDE MEWS, PARKSIDE, MALAHIDE ROAD",malahide road,"€445,000.00"
09/11/2020,"12 BROOKFIELD COURT, BROOKFIELD GREEN, KIMMAGE DUBLIN 12",brookfield,"€212,000.00"
09/11/2020,"3 Meadowbank Mews, Millers Glen, County Dublin",meadowbank,"€257,337.00"
09/11/2020,"551 CARNLOUGH RD, CABRA, DUBLIN 7",carnlough road,"€254,000.00"
10/11/2020,"280 KYLEMORE RD, BALLYFERMOT, DUBLIN 10",kylemore road,"€242,000.00"
10/11/2020,"57 LOMBARD ST WEST, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€679,000.00"
11/11/2020,"230 GLASNEVIN AVENUE, GLASNEVIN, DUBLIN 11",glasnevin avenue,"€445,000.00"
11/11/2020,"3 CABRA RD, PHIBSBOROUGH, DUBLIN 7",cabra road,"€840,000.00"
11/11/2020,"49 ST AGNES PARK, CRUMLIN, DUBLIN 12",st agnes park,"€450,000.00"
11/11/2020,"53 BROOKFIELD, KIMMAGE CROSS ROAD, DUBLIN 12",brookfield,"€465,000.00"
11/11/2020,"88 LANDEN RD, BALLYFERMOT, DUBLIN 10",landen road,"€255,000.00"
12/11/2020,"147 BALLYFERMOT RD BALLYFERMOT, DUBLIN 10, DUBLIN",ballyfermot road,"€260,000.00"
12/11/2020,"17 ACORN HOUSE, SEVEN OAKS, RATHMINES",seven oaks,"€251,125.00"
12/11/2020,"24 PARK LANE, SANDYMOUNT, DUBLIN 4",park lane,"€945,000.00"
12/11/2020,"428 CLOGHER RD, DUBLIN 12, DUBLIN",clogher road,"€435,000.00"
12/11/2020,"5 TONLEGEE RD, COOLOCK, DUBLIN 5",tonlegee road,"€250,000.00"
12/11/2020,"63 Brookfield, Back Road, Malahide",brookfield,"€559,471.00"
12/11/2020,"7 GOFTON HALL, MCKEE AVE, FINGLAS DUBLIN 11",mckee avenue,"€325,000.00"
12/11/2020,"9 GLEBE VIEW, CHURCH ST, FINGLAS DUBLIN 11",church street,"€220,000.00"
13/11/2020,"105 THE STILES ROAD, CLONTARF, DUBLIN 3",the stiles road,"€767,500.00"
13/11/2020,"15 THE WILLOW, PARK VIEW, BELARMINE AVE",park view,"€319,950.00"
13/11/2020,"16 THE PADDOCKS, HYBREASAL, SOUTH CIRCULAR RD DUBLIN 8",south circular road,"€353,000.00"
13/11/2020,"21 PARKSIDE SQUARE, PARKSIDE, MALAHIDE ROAD",malahide road,"€471,000.00"
13/11/2020,"21A PARK LANE, SANDYMOUNT, DUBLIN 4",park lane,"€840,000.00"
13/11/2020,"9 BROOKFIELD RD, DUBLIN 8, DUBLIN",brookfield,"€490,000.00"
13/11/2020,"APT 1, 566 NORTH CIRCULAR ROAD, DUBLIN 7",north circular road,"€750,000.00"
14/11/2020,"126 TEMPLE GARDENS, SANTRY, DUBLIN 9",temple gardens,"€224,950.00"
16/11/2020,"10 LOFTUS COURT, PARNELL ST, DUBLIN",parnell street,"€260,000.00"
16/11/2020,"13 PROSPECT LAWN, THE PARK, CABINTEELY",the park,"€560,000.00"
16/11/2020,"77 ENNAFORT RD, RAHENY, DUBLIN 5",ennafort road,"€570,000.00"
16/11/2020,"92 KILBARRACK RD, DUBLIN 5, DUBLIN",kilbarrack road,"€390,000.00"
16/11/2020,"APT 4 HOUSE 8, LINDEN SQ, GROVE AVE",grove avenue,"€405,000.00"
17/11/2020,"4 Meadowbank Lane, Millers Glen, Swords",meadowbank,"€378,855.00"
17/11/2020,"42 TEMPLE GARDENS, NORTHWOOD, SANTRY DUBLIN 9",temple gardens,"€280,000.00"
17/11/2020,"486 SOUTH CIRCULAR RD, DUBLIN 8, DUBLIN",south circular road,"€610,000.00"
17/11/2020,"APT 8, 18 LOWER BAGGOT ST, DUBLIN 2",baggot street,"€625,000.00"
18/11/2020,"102 MOUNT PROSPECT AVE, CLONTARF, DUBLIN 3",mount prospect avenue,"€660,000.00"
18/11/2020,"452 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",inchicore road,"€425,000.00"
19/11/2020,"108 ORWELL PARK VIEW, TEMPLEOGUE, PARK VIEW DUBLIN 6W",park view,"€453,000.00"
19/11/2020,"26 NEPHIN RD, DUBLIN 7, DUBLIN",nephin road,"€710,000.00"
19/11/2020,"283 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€435,000.00"
20/11/2020,"11 BELGROVE RD, CLONTARF, DUBLIN 3",grove road,"€470,000.00"
20/11/2020,"11 GROVE COURT, GROVE RD, BLANCHARDSTOWN",grove road,"€240,000.00"
20/11/2020,"13A KINCORA COURT, CLONTARF, DUBLIN 3",kincora court,"€570,000.00"
20/11/2020,"2 Meadowbank Lane, Millers Glen, Swords",meadowbank,"€334,801.00"
20/11/2020,"20 TRITONVILLE COURT, OFF TRITONVILLE RD, SANDYMOUNT",tritonville road,"€970,000.00"
20/11/2020,"39 MARINERS COURT, KILBARRACK ROAD, DUBLIN 5",kilbarrack road,"€385,000.00"
20/11/2020,"45 BROOKFIELD PLACE, BLACKROCK, DUBLIN",brookfield,"€735,000.00"
20/11/2020,"65 FASSAUGH AVEUNE, CABRA WEST, DUBLIN 7",fassaugh avenue,"€375,000.00"
20/11/2020,"68 SEVEN OAKS, INCHICORE, DUBLIN 8",seven oaks,"€128,468.00"
20/11/2020,"80 GLASNEVIN AVE, DUBLIN 11, DUBLIN",glasnevin avenue,"€435,000.00"
20/11/2020,"APT 112, 109 PARNELL ST, DUBLIN 1",parnell street,"€208,000.00"
23/11/2020,"1 BROOKFIELD RD, OLD KILMAINHAM, DUBLIN 8",brookfield,"€600,347.00"
23/11/2020,"109 LEINSTER RD, RATHMINES, DUBLIN 6",leinster road,"€990,000.00"
23/11/2020,"119 GRANGE ABBEY GROVE, DONAGHMEDE, DUBLIN 13",grange abbey grove,"€320,000.00"
23/11/2020,"12 Meadowbank Lane, Millers Glen, Swords",meadowbank,"€378,854.63"
23/11/2020,"372 KILDARE RD, CRUMLIN, DUBLIN 12",kildare road,"€240,000.00"
23/11/2020,"39 STEWART HALL, PARNELL ST, DUBLIN 1",parnell street,"€225,000.00"
23/11/2020,"52 WILLOW PARK AVENUE, DUBLIN 11",willow park avenue,"€454,000.00"
23/11/2020,"6 SLADE ROW, PALATINE SQ, ARBOUR HILL DUBLIN 7",arbour hill,"€480,000.00"
24/11/2020,"28 CLARENCE MANGAN RD, CIRCULAR RD SOUTH, DUBLIN 8",clarence mangan road,"€238,000.00"
24/11/2020,"43 VENTRY PARK, CABRA WEST, DUBLIN 7",ventry park,"€257,000.00"
24/11/2020,"5 WINTON AVE, RATHGAR, DUBLIN 6",winton avenue,"€921,500.00"
24/11/2020,"8 The Park, St Marnock's Bay, Portmarnock",the park,"€466,960.35"
24/11/2020,"APT 94, 21 CHRISTCHURCH PLACE, CHRISTCHURCH DUBLIN 8",christchurch place,"€410,000.00"
25/11/2020,"123 TEMPLE GARDENS, NORTHWOOD, SANTRY DUBLIN 9",temple gardens,"€250,000.00"
25/11/2020,"15C THE PARK, MILITARY ROAD, RATHMINES",the park,"€440,000.00"
25/11/2020,"20 LR NORTHBROOK AVE, NORTH STRAND, DUBLIN 3",northbrook avenue,"€390,000.00"
25/11/2020,"25 CURZON ST, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€602,000.00"
25/11/2020,"4 EMMET ST, North Circular Road, Dublin 1",north circular road,"€430,000.00"
25/11/2020,"41 TOLKA VALE, FINGLAS RD, GLASNEVIN DUBLIN 11",finglas road,"€205,000.00"
25/11/2020,"APARTMENT 3 SPRINGDALE COURT, SPRINGDALE ROAD, RAHENY",springdale road,"€225,000.00"
26/11/2020,"29 TULLA HOUSE, CLAREVILLAGE, MALAHIDE RD DUBLIN 17",malahide road,"€227,000.00"
26/11/2020,"APT 124, IVY EXCHANGE, PARNELL ST DUBLIN 1",parnell street,"€380,000.00"
26/11/2020,"APT 251, THE WILLOWS CARRINGTON PARK, NORTHWOOD DUBLIN 9",the willows,"€240,000.00"
26/11/2020,"ST JUDES, 42 ST AGNES RD, CRUMLIN DUBLIN 12",st agnes road,"€310,000.00"
27/11/2020,"13 THE GROVE, WOODPARK, DUBLIN 16",grove wood,"€425,000.00"
27/11/2020,"14 SULLIVAN ST, INFIRMARY RD, DUBLIN 7",infirmary road,"€324,229.00"
27/11/2020,"4 HEALY STREET, NORTH CIRCULAR ROAD, DUBLIN",north circular road,"€252,000.00"
27/11/2020,"9 BROOKFIELD, KIMMAGE RD WEST, DUBLIN 12",brookfield,"€420,000.00"
27/11/2020,"NO 8 JAMES COURT, MOUNT BROWN, KILMAINHAM",mount brown,"€230,000.00"
30/11/2020,"12 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€334,801.00"
30/11/2020,"15 CALEDON RD, EAST WALL, DUBLIN 3",caledon road,"€270,000.00"
30/11/2020,"18 CRUAGH COURT, CRUAGH MANOR, STEPASIDE DUBLIN 18",manor street,"€275,000.00"
30/11/2020,"18 STATION HOUSE, SEABROOK MANOR, STATION RD",manor street,"€296,000.00"
30/11/2020,"19 INFIRMARY RD, CABRA, DUBLIN 7",infirmary road,"€492,000.00"
30/11/2020,"2 HARCOURT GREEN, CHARLEMONT ST, DUBLIN 2",charlemont,"€412,013.00"
30/11/2020,"2 WHITECHURCH STREAM, WHITECHURCH RD, RATHFARNHAM DUBLIN 14",church street,"€410,000.00"
30/11/2020,"22 ASHCROFT, RAHENY RD, DUBLIN 5",ashcroft,"€418,000.00"
30/11/2020,"253 KILDARE RD, CRUMLIN, DUBLIN 12",kildare road,"€281,000.00"
30/11/2020,"4 SPRINGDALE COURT, SPRINGDALE RD, RAHENY DUBLIN 5",springdale road,"€230,000.00"
30/11/2020,"82 BROOKFIELD, KIMMAGE RD WEST, KIMMAGE DUBLIN 12",brookfield,"€490,000.00"
30/11/2020,"84 FITZROY AVE, DUBLIN 3, DUBLIN",fitzroy avenue,"€280,000.00"
01/12/2020,"1 ALEXANDRA TERRACE, CASTLEFORBES ROAD, NORTH WALL",castleforbes road,"€500,000.00"
01/12/2020,"156 PHILIPSBURGH AVE, MARINO, DUBLIN 3",philipsburgh avenue,"€370,000.00"
01/12/2020,"198 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",philipsburgh avenue,"€550,000.00"
01/12/2020,"2 ALEXANDAR TERRACE, CASTLEFORBES ROAD, DUBLIN 1",castleforbes road,"€1,000,000.00"
01/12/2020,"3 FINDLATER ST, INFIRMARY RD, DUBLIN 7",infirmary road,"€212,000.00"
01/12/2020,"3 O'CONNELL STREET, DUBLIN 1",oconnell street,"€190,000.00"
01/12/2020,"4 ALEXANDAR TERRACE, CASTLEFORBES RD, DUBLIN 1",castleforbes road,"€500,000.00"
01/12/2020,"4 CASTLEFORBES RD, NORTH WALL, DUBLIN 1",castleforbes road,"€1,500,000.00"
01/12/2020,"51 GROSVENOR COURT, OFF MOUNT VERNON AVE, CLONTARF DUBLIN 3",grosvenor court,"€577,000.00"
01/12/2020,"59 PARK VIEW, RATHBORNE, ASHTOWN DUBLIN 15",park view,"€286,000.00"
01/12/2020,"9 CHURCH STREET, FINGLAS, DUBLIN 11",church street,"€395,000.00"
01/12/2020,"APT 65, EGLINGTON BLOCK, DONNYBROOK CASTLE DUBLIN 4",egling,"€410,000.00"
02/12/2020,"29 GLASNEVIN AVE, DUBLIN 11, DUBLIN",glasnevin avenue,"€465,000.00"
02/12/2020,"57 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€265,000.00"
02/12/2020,"78 GLENARRIFF RD, NAVAN RD, DUBLIN 7",glenarriff road,"€420,000.00"
02/12/2020,"79 SEVEN OAKS, SARSFIELD RD, DUBLIN 10",seven oaks,"€101,064.00"
02/12/2020,"85 ENNAFORT RD, RAHENY, DUBLIN 5",ennafort road,"€475,000.00"
02/12/2020,"APT 139, 109 PARNELL ST, DUBLIN 1",parnell street,"€200,000.00"
03/12/2020,"17 BROOKFIELD PLACE, BLACKROCK, DUBLIN",brookfield,"€475,000.00"
03/12/2020,"22 KILMAINHAM SQ, INCHICORE RD, DUBLIN 8",inchicore road,"€425,000.00"
03/12/2020,"26 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€262,114.00"
03/12/2020,"27 KINCORA COURT, CLONTARF, DUBLIN 3",kincora court,"€400,000.00"
03/12/2020,"87 CARNDONAGH PARK, DONAGHMEDE, DUBLIN 13",carndonagh park,"€330,000.00"
03/12/2020,"APT 1 35 SYNGE STREET, PORTOBELLO, DUBLIN 8",synge street,"€1,100,000.00"
03/12/2020,"APT 60, THE TANNERY, CORK ST",cork street,"€275,000.00"
04/12/2020,"14 meadowbank road, miller's glen, swords",meadowbank,"€334,801.76"
04/12/2020,"16 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€325,991.00"
04/12/2020,"16 Meadowbank Road, Millers Glen, Swords",meadowbank,"€325,991.00"
04/12/2020,"22 CHARLEMONT RD, CLONTARF, DUBLIN 3",charlemont,"€570,000.00"
04/12/2020,"24 STATION HOUSE, SEABROOK MANOR, STATION RD",manor street,"€310,000.00"
04/12/2020,"245 CLOGHER RD, CRUMLIN, DUBLIN 12",clogher road,"€315,000.00"
04/12/2020,"4 GROVE VILLAGE GROVE RD, HAROLDS CROSS, DUBLIN",grove road,"€286,000.00"
04/12/2020,"52 CONNOLLY AVE, INCHICORE, DUBLIN 8",connolly avenue,"€510,000.00"
04/12/2020,"COOLDRINAGH, CRANMER LANE, HADDINGTON RD DUBLIN 4",haddington road,"€1,175,000.00"
07/12/2020,"197 LANDEN RD, BALLYFERMOT, DUBLIN 10",landen road,"€238,000.00"
07/12/2020,"20 KYLECLARE RD, RINGSEND, DUBLIN 4",clare road,"€518,000.00"
07/12/2020,"22 BROOKFIELD RD, SOUTH CIRCULAR RD, DUBLIN 8",brookfield,"€430,000.00"
07/12/2020,"377 COLLINSWOOD, COLLINS AVE, BEAUMOUNT DUBLIN 9",collinswood,"€384,000.00"
07/12/2020,"4 BALLYHOY AVE, RAHENY, DUBLIN 5",ballyhoy avenue,"€375,000.00"
07/12/2020,"6 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€330,396.00"
07/12/2020,"61 FINGLAS PARK, FINGLAS EAST, DUBLIN 11",finglas park,"€325,000.00"
07/12/2020,"7 COULTRY DRIVE, SANTRY AVENUE, DUBLIN 9",coultry drive,"€220,000.00"
07/12/2020,"78 CARNDONAGH PARK, DONAGHMEDE, DUBLIN 13",carndonagh park,"€300,000.00"
07/12/2020,"9 GRANTHAM PLACE, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€330,000.00"
08/12/2020,"10 Meadowbank Mews, Millers Glen",meadowbank,"€325,991.19"
08/12/2020,"103 CIRCULAR RD NORTH FLAT 1, ARBOUR HILL, DUBLIN 7",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 2, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 3, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 4, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 5, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 6, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 7, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 8, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"103 NORTH CIRCULAR ROAD, FLAT 9, ARBOUR HILL",arbour hill,"€100,000.00"
08/12/2020,"11 REGINALD ST, DUBLIN 8, DUBLIN",reginald street,"€456,000.00"
08/12/2020,"18 CLOGHER ROAD, CRUMLIN, DUBLIN 12",clogher road,"€300,000.00"
08/12/2020,"192 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",philipsburgh avenue,"€565,000.00"
08/12/2020,"21 OLD CABRA RD, DUBLIN 7",cabra road,"€405,000.00"
08/12/2020,"64 GRANGE PARK VIEW, RAHENY, DUBLIN 5",park view,"€200,000.00"
08/12/2020,"73 FITZROY AVE, DRUMCONDRA, DUBLIN 3",fitzroy avenue,"€417,000.00"
08/12/2020,"APT 80, THE MOYLE, PROSPECT HILL",the moyle,"€225,000.00"
09/12/2020,"117 BELGROVE PARK, MOUNT PROSPECT LAWNS, MOUNT PROSPECT AVE CLONTARF",mount prospect avenue,"€416,000.00"
09/12/2020,"190 SPRINGDALE ROAD, RAHENY, DUBLIN 5",springdale road,"€370,000.00"
09/12/2020,"24 meadowbank Mews, Swords, Dublin",meadowbank,"€389,998.00"
09/12/2020,"30 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€262,114.50"
09/12/2020,"38 GROVE WOOD, GLASNEVIN DUBLIN 11, DUBLIN 11",grove wood,"€335,000.00"
09/12/2020,"4 MAYPARK, MALAHIDE RD, DUBLIN 5",malahide road,"€635,000.00"
09/12/2020,"4 ST JAMES TERRACE, DOLPHINS BARN, DUBLIN 8",dolphins barn,"€150,000.00"
09/12/2020,"56 ST AGNES RD, CRUMLIN CROSS ROADS, CRUMLIN DUBLIN 12",st agnes road,"€485,000.00"
09/12/2020,"95 THE ICE RINK, DOLPHINS BARN, DUBLIN 8",dolphins barn,"€279,000.00"
10/12/2020,"102 THE WILLOWS, ABBERLEY, KILLINEY",the willows,"€368,500.00"
10/12/2020,"120 SPRINGDALE ROAD, RAHENY, DUBLIN 5",springdale road,"€323,000.00"
10/12/2020,"15 THE TENNERY, 50 CORK ST, DUBLIN 8",cork street,"€280,000.00"
10/12/2020,"21 LINDEN PLACE, GROVE AVE, BLACKROCK",grove avenue,"€725,000.00"
10/12/2020,"28 THE CEDARS, HERBERT PARK LANE, BALLSBRIDGE DUBLIN 4",park lane,"€438,000.00"
10/12/2020,"301 CARNLOUGH RD, CABRA, DUBLIN 7",carnlough road,"€365,000.00"
10/12/2020,"328 GRIFFITH AVE, DRUMCONDRA, DUBLIN 9",griffith avenue,"€695,000.00"
10/12/2020,"33 GROVE PARK AVENUE, GLASNEVIN, DUBLIN 11",grove park avenue,"€420,000.00"
10/12/2020,"APT 134, 109 PARNELL ST, DUBLIN",parnell street,"€222,500.00"
11/12/2020,"15 Meadowbank Road, Millers Glen, Swords",meadowbank,"€378,855.00"
11/12/2020,"19 SLIEVEMORE RD, DUBLIN 12, DUBLIN",slievemore road,"€268,000.00"
11/12/2020,"2 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€341,957.00"
11/12/2020,"22 Meadowbank Mews, Swords",meadowbank,"€315,000.00"
11/12/2020,"30 RATHVALE DR, COOLOCK, DUBLIN 5",rathvale drive,"€200,000.00"
11/12/2020,"33 FINGLAS PARK, FINGLAS, DUBLIN 11",finglas park,"€260,000.00"
11/12/2020,"4 LORETO RD, MARROWBONE LANE, CORK ST DUBLIN 8",loreto road,"€400,000.00"
11/12/2020,"63 DOWLAND RD, WALKINSTOWN, DUBLIN",dowland,"€395,000.00"
11/12/2020,"71 North Circular Road, and 71 Marlborough Mews, DUBLIN 7",north circular road,"€1,025,000.00"
11/12/2020,"76 EUGENE ST, CORK ST, DUBLIN 8",cork street,"€200,000.00"
14/12/2020,"115 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€420,000.00"
14/12/2020,"124 BEAUMONT ROAD, BEAUMONT, DUBLIN 9",beaumont road,"€372,000.00"
14/12/2020,"127 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€430,000.00"
14/12/2020,"131 IVY EXCHANGE, PARNELL ST, DUBLIN 1",parnell street,"€440,000.00"
14/12/2020,"17 ST IGNATIUS AVE, NORTH CIRCULAR ROAD, DUBLIN CITY",north circular road,"€255,000.00"
14/12/2020,"26 PARKSIDE AVENUE, PARKSIDE, MALAHIDE ROAD",malahide road,"€470,000.00"
14/12/2020,"281 CRUMLIN RD, CRUMLIN, DUBLIN 12",crumlin road,"€360,000.00"
14/12/2020,"406 CARNLOUGH RD, CABRA WEST, DUBLIN 7",carnlough road,"€275,000.00"
14/12/2020,"6 meadowbank road, millers glen, swords",meadowbank,"€330,396.48"
14/12/2020,"7 THE PARK, KINGSWOOD HEIGHTS, TALLAGHT DUBLIN 24",the park,"€425,000.00"
14/12/2020,"8 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€325,991.00"
14/12/2020,"APT 27, 109 PARNELL ST, DUBLIN 1",parnell street,"€220,000.00"
15/12/2020,"26 TENTERFIELD APTS, SOUTH BROWN ST, DUBLIN 8",south brown street,"€225,000.00"
15/12/2020,"4 MEADOWBANK MEWS, MILLERS GLEN, SWORDS",meadowbank,"€347,136.56"
15/12/2020,"46 THE PARKLANDS, CASTLESIDE DR, PARKLANDS DUBLIN 14",the park,"€385,000.00"
15/12/2020,"5 meadowbank mews, Millers Glen, Swords",meadowbank,"€262,115.00"
15/12/2020,"544 NORTH CIRCULAR RD, DUBLIN 1, DUBLIN",north circular road,"€755,000.00"
15/12/2020,"59 CHURCH STREET, SKERRIES, CO. DUBLIN",church street,"€400,000.00"
15/12/2020,"6 BROOKFIELD PARK, RUSH, DUBLIN",brookfield,"€395,000.00"
15/12/2020,"72 DOWLAND RD, WALKINSTOWN, DUBLIN 12",dowland,"€306,000.00"
15/12/2020,"89 ROCKFORD MANOR, STRADBROOK RD, BLACKROCK",manor street,"€590,000.00"
15/12/2020,"APT 12, 2 WATERLOO RD, BALLSBRIDGE DUBLIN 4",waterloo road,"€345,000.00"
16/12/2020,"14 MALAHIDE ROAD, MARINO, DUBLIN 3",malahide road,"€353,058.00"
16/12/2020,"14 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€334,802.00"
16/12/2020,"215 MOUNT PROSPECT AVE, CLONTARF, DUBLIN 3",mount prospect avenue,"€1,600,000.00"
16/12/2020,"28 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€262,114.00"
16/12/2020,"35 ABERDEEN ST, INFIRMARY RD, DUBLIN 7",infirmary road,"€135,000.00"
16/12/2020,"4 PARK VIEW, ORWELL RD, RATHGAR DUBLIN 6",park view,"€546,000.00"
16/12/2020,"42 RATHDOWN DRIVE, TERENURE, DUBLIN 6W",rathdow,"€895,000.00"
16/12/2020,"54 THIRD AVENUE, SEVILLE PLACE, NORTH WALL",north wall,"€267,000.00"
16/12/2020,"Orchard Lodge, 1B Holyrood Park, Sandymount",holyrood park,"€1,233,480.18"
17/12/2020,"16 Orwell Park Gardens, Orwell Park, Rathgar",orwell park,"€1,057,201.24"
17/12/2020,"18 Meadowbank Mews, Millers Glen, Swords",meadowbank,"€325,991.00"
17/12/2020,"20 GRAY SQ, OFF GRAY ST, DUBLIN 8",gray square,"€238,000.00"
17/12/2020,"218 CHARLOTTE QUAY DOCK, RINGSEND RD, RINGSEND DUBLIN 4",ringsend road,"€407,500.00"
17/12/2020,"33 MELLOWES PARK, FINGLAS WEST, DUBLIN 11",mellowes park,"€210,000.00"
