Date of Sale (dd/mm/yyyy),Address,Street Name,Price
23/01/2015,"83 HYBREASAL HOUSE, SOUTH CIRCULAR RD, KILMAINHAM DUBLIN 8",south circular road,"€126,500.00"
23/01/2015,"86 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"94 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
23/01/2015,"97 GREGG COURT, PARNELL ST, DUBLIN 1",parnell street,"€158,950.00"
26/01/2015,"145 KILDARE RD, CRUMLIN, DUBLIN 12",kildare road,"€183,000.00"
26/01/2015,"59 SEAPARK, MOUNT PROSPECT AVENUE, CLONTARF",mount prospect avenue,"€185,000.00"
26/01/2015,"7 CLEARWATER COURT NORTH, ROYAL CANAL PARK, DUBLIN 15",clearwater,"€156,000.00"
27/01/2015,"1 FASSAUGH AVENUE, CABRA, DUBLIN 7",fassaugh avenue,"€200,000.00"
27/01/2015,"9 ST BRENDANS AVE, MALAHIDE RD, DUBLIN 5",malahide road,"€350,000.00"
28/01/2015,"27 THE LODGE, SEABROOK MANOR, STATION RD",manor street,"€136,000.00"
28/01/2015,"41 Northbrook Avenue, Ranelagh",northbrook avenue,"€256,938.00"
28/01/2015,"49 MOUNT PROSPECT AVE, CLONTARF, DUBLIN 3",mount prospect avenue,"€632,500.00"
28/01/2015,"50 ASHCROFT, RAHENY, DUBLIN 5",ashcroft,"€422,500.00"
28/01/2015,"NO 588 NORTH CIRCULAR ROAD, DUBLIN 7",north circular road,"€285,000.00"
29/01/2015,"138 MELLOWS RD, FINGLAS WEST, DUBLIN 11",mellows road,"€60,000.00"
29/01/2015,"2 KIRWAN ST, DUBLIN 7, DUBLIN",kirwan street,"€255,000.00"
29/01/2015,"5 CHARLEMONT RD, CLONTARF, DUBLIN 3",charlemont,"€450,000.00"
29/01/2015,"65 HYDE SQ, SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€305,000.00"
29/01/2015,"APT 65, EGLINGTON BLOCK, DONNYBROOK CASTLE DUBLIN 4",egling,"€370,000.00"
30/01/2015,"1 HYBREASAL, SOUTH CIRCULAR RD, DUBLIN CITY",south circular road,"€129,000.00"
30/01/2015,"11 ODONOVAN RD, CIRCULAR RD SOUTH, DUBLIN 8",odonovan road,"€250,000.00"
30/01/2015,"14 Tonlegee Road, Coolock, Dublin 5",tonlegee road,"€251,500.00"
30/01/2015,"385 SOUTH CIRCULAR ROAD, RIALTO, DUBLIN 8",south circular road,"€317,150.00"
30/01/2015,"40 GLENARRIFF RD, NAVAN RD, DUBLIN",glenarriff road,"€397,500.00"
30/01/2015,"46 PROSPECT MEADOWS, PROSPECT MANOR, STOCKING LANE DUBLIN 16",manor street,"€421,500.00"
30/01/2015,"600 SOUTH CIRCULAR RD, KILMAINHAM, DUBLIN 8",south circular road,"€577,500.00"
30/01/2015,"76 BUSHY PARK RD, TERENURE, DUBLIN",bushy park,"€875,000.00"
30/01/2015,"83 SHELBOURNE VILLAGE, RINGSEND RD, DUBLIN 4",ringsend road,"€260,000.00"
30/01/2015,"9 TEMPLEVIEW CLOSE, CLARE HALL, MALAHIDE RD DUBLIN 13",malahide road,"€285,000.00"
30/01/2015,"Apartment No.23 Waterside Drive, Waterside, Malahide Road",malahide road,"€198,238.00"
02/02/2015,"161 CEANNT FORT, MOUNT BROWN, DUBLIN 8",mount brown,"€360,000.00"
02/02/2015,"9 MANOR HALL, MOUNT BROWN, DUBLIN 8",mount brown,"€182,000.00"
03/02/2015,"112 MELLOWES RD, FINGLAS DUBLIN 11, DUBLIN",mellowes road,"€167,000.00"
03/02/2015,"13 South Circular Road, Dublin 8",south circular road,"€300,000.00"
03/02/2015,"131 TONLEGEE RD, RAHENY, DUBLIN 5",tonlegee road,"€315,000.00"
03/02/2015,"28 EUGENE ST, CORK ST, DUBLIN 8",cork street,"€153,000.00"
03/02/2015,"58 KILDONAN RD, FINGLAS WEST, DUBLIN 11",kildonan road,"€147,000.00"
04/02/2015,"129 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",philipsburgh avenue,"€570,000.00"
04/02/2015,"131 PHILIPSBURGH AVE, FAIRVIEW, DUBLIN 3",philipsburgh avenue,"€322,000.00"
04/02/2015,"23 UPPER BUCKINGHAM ST, DUBLIN 1, DUBLIN",buckingham street,"€240,000.00"
04/02/2015,"324 BALLYFERMOT RD BALLYFERMOT, DUBLIN 10, DUBLIN",ballyfermot road,"€145,000.00"
04/02/2015,"53 Balnagowan, Palmerston Park, Rathmines",palmerston park,"€210,000.00"
04/02/2015,"Apartment 8, 20 Christchurch Place, Dublin 8",christchurch place,"€213,750.00"
05/02/2015,"171 SOUTH CIRCULAR RD, DUBLIN 8",south circular road,"€400,000.00"
05/02/2015,"356 NUTGROVE AVE, CHURCHTOWN, DUBLIN 14",grove avenue,"€347,000.00"
05/02/2015,"50 Crosbie House, Northbrook Avenue, Ranelagh",northbrook avenue,"€387,500.00"
05/02/2015,"54 OLD FINGLAS RD, GLASNEVIN, DUBLIN 11",finglas road,"€650,000.00"
05/02/2015,"58 SOUTHGATE, CORK ST, DUBLIN 8",cork street,"€71,881.12"
05/02/2015,"65 FASSAUGH AVEUNE, CABRA WEST, DUBLIN 7",fassaugh avenue,"€175,000.00"
05/02/2015,"92  Iona Road, Glasnevin",iona road,"€945,000.00"
06/02/2015,"11 GROVE PARK RD, BALLYMUN, DUBLIN 11",grove park road,"€275,000.00"
06/02/2015,"14 CROSBIE HOUSE, NORTHBROOK AVE, DUBLIN 6",northbrook avenue,"€220,000.00"
06/02/2015,"145 BEAUMONT ROAD, DUBLIN 9",beaumont road,"€310,000.00"
06/02/2015,"187 North Circular Road, Dublin 7",north circular road,"€220,000.00"
